data_venda,produto,marca,modelo,preco,quantidade
2023-01-09,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,3
2023-01-09,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-01-10,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,4
2023-01-10,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,8
2023-01-10,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,4
2023-01-10,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,8
2023-01-10,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,10
2023-01-11,Controle Remoto LG,LG,AKB75095307,R$ 79.99,6
2023-01-11,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,8
2023-01-11,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,5
2023-01-12,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,5
2023-01-12,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,5
2023-01-12,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,2
2023-01-13,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-01-13,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,1
2023-01-13,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,6
2023-01-13,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-01-13,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,7
2023-01-13,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,9
2023-01-14,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-01-14,Controle Remoto LG,LG,AKB75095307,R$ 79.99,10
2023-01-14,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,7
2023-01-14,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-01-15,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,6
2023-01-15,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-01-16,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,10
2023-01-16,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,9
2023-01-16,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,9
2023-01-16,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,3
2023-01-16,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,8
2023-01-17,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,3
2023-01-18,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,10
2023-01-18,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,2
2023-01-18,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-01-18,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-01-18,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-01-19,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,2
2023-01-19,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,3
2023-01-19,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,8
2023-01-19,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-01-19,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,2
2023-01-19,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,1
2023-01-20,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,4
2023-01-20,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,3
2023-01-20,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,1
2023-01-20,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,4
2023-01-20,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-01-20,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,10
2023-01-21,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-01-21,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-01-21,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-01-21,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-01-21,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,6
2023-01-22,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-01-22,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,6
2023-01-23,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,1
2023-01-23,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-01-23,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,1
2023-01-23,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,3
2023-01-23,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,3
2023-01-23,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-01-24,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,6
2023-01-24,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,10
2023-01-24,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,10
2023-01-25,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,5
2023-01-25,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,10
2023-01-26,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,8
2023-01-26,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-01-26,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,6
2023-01-26,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-01-26,Controle Remoto LG,LG,AKB75095307,R$ 79.99,3
2023-01-27,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-01-27,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,3
2023-01-27,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,7
2023-01-27,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,4
2023-01-27,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,9
2023-01-28,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,4
2023-01-28,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-01-28,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,2
2023-01-29,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-06-01,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,10
2023-06-02,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,3
2023-06-03,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,5
2023-06-04,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,4
2023-06-05,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-06-05,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-06-06,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,10
2023-06-07,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-06-07,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,10
2023-06-07,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,7
2023-06-07,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,3
2023-06-07,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,7
2023-06-08,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,10
2023-06-08,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,5
2023-06-09,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-06-09,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,2
2023-06-09,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,6
2023-06-09,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,8
2023-06-09,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,5
2023-06-09,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,10
2023-06-10,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-06-11,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,8
2023-06-11,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,9
2023-06-12,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-06-12,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-06-13,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,7
2023-06-13,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-06-13,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,2
2023-06-13,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,4
2023-06-13,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,8
2023-06-14,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,3
2023-06-14,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,4
2023-06-14,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,6
2023-06-14,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,3
2023-06-14,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,6
2023-06-15,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-06-15,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,7
2023-06-16,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,9
2023-06-16,Controle Remoto LG,LG,AKB75095307,R$ 79.99,4
2023-06-17,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,10
2023-06-17,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,6
2023-06-18,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,5
2023-06-18,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-06-18,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,1
2023-06-18,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-06-18,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,1
2023-06-18,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-06-19,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-06-19,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,6
2023-06-19,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,2
2023-06-19,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-06-19,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-06-19,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-06-20,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-06-20,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,1
2023-06-21,Controle Remoto LG,LG,AKB75095307,R$ 79.99,1
2023-06-21,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,10
2023-06-21,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,3
2023-06-21,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,9
2023-06-21,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,9
2023-06-21,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-06-22,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,9
2023-06-22,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,4
2023-06-22,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,8
2023-06-22,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,4
2023-06-23,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,6
2023-06-24,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,4
2023-06-24,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,7
2023-06-24,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,2
2023-06-24,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-06-24,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,7
2023-06-25,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,4
2023-06-25,Controle Remoto LG,LG,AKB75095307,R$ 79.99,6
2023-06-25,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-06-25,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,5
2023-06-25,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,1
2023-06-26,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,3
2023-06-26,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,10
2023-06-26,Controle Remoto LG,LG,AKB75095307,R$ 79.99,1
2023-06-27,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-06-27,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,6
2023-06-27,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-06-27,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-06-28,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,7
2023-06-28,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,10
2023-06-28,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,5
2023-06-28,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,9
2023-06-28,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,1
2023-06-29,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-06-30,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,8
2023-06-30,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,8
2023-06-30,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,2
2023-06-30,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,8
2023-06-30,Controle Remoto LG,LG,AKB75095307,R$ 79.99,7
2023-06-30,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,5
2023-07-01,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,3
2023-07-01,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,5
2023-07-01,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-07-01,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,4
2023-07-01,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-07-02,Controle Remoto LG,LG,AKB75095307,R$ 79.99,5
2023-07-03,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,8
2023-07-03,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,4
2023-07-03,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,8
2023-07-03,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,3
2023-07-04,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,6
2023-07-04,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,8
2023-07-05,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,6
2023-07-05,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-07-05,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,2
2023-07-05,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,10
2023-07-05,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,3
2023-07-06,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,1
2023-07-07,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,8
2023-07-07,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,2
2023-07-07,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-07-07,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,6
2023-07-07,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,7
2023-07-07,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,9
2023-07-08,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,7
2023-07-08,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,6
2023-07-08,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-07-08,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,3
2023-07-08,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,1
2023-07-08,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,3
2023-07-09,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,4
2023-07-09,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,2
2023-07-09,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,5
2023-07-09,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,9
2023-07-09,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,9
2023-07-10,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,4
2023-07-11,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,8
2023-07-11,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,3
2023-07-11,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,5
2023-07-11,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,1
2023-07-12,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,10
2023-07-12,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,6
2023-07-12,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,2
2023-07-12,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,1
2023-07-12,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,10
2023-07-12,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,8
2023-07-13,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,9
2023-07-14,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-07-14,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,6
2023-07-14,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,5
2023-07-15,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,7
2023-07-16,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,8
2023-07-16,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,10
2023-07-17,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-07-17,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,2
2023-07-17,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,3
2023-07-17,Controle Remoto LG,LG,AKB75095307,R$ 79.99,4
2023-07-18,Powerbank 20000mAh,Xiaomi,Mi Power Bank 3,R$ 199.99,5
2023-07-18,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,9
2023-07-18,Controle Remoto LG,LG,AKB75095307,R$ 79.99,7
2023-07-18,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,8
2023-07-19,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,9
2023-07-19,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,4
2023-07-19,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,2
2023-07-19,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,1
2023-07-19,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,9
2023-07-19,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,6
2023-07-20,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,2
2023-07-20,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,9
2023-07-21,Fone de Ouvido Bluetooth,Lenovo,Lp40,R$ 97.99,7
2023-07-21,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-07-21,Controle Remoto LG,LG,AKB75095307,R$ 79.99,2
2023-07-21,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,10
2023-07-21,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,9
2023-07-21,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-07-22,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,10
2023-07-22,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,5
2023-07-22,Fone de Ouvido com Fio,Jbl,Tune 500 Preto,R$ 149.98,7
2023-07-22,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-07-22,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,6
2023-07-23,Rádio MP3 para Carro,Pioneer,DEH-S6220BT,R$ 499.99,7
2023-07-23,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,8
2023-07-23,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,5
2023-07-23,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,9
2023-07-23,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-07-24,Rádio MP3 para Carro,Kenwood,KDC-BT558U,R$ 449.99,8
2023-07-24,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,8
2023-07-24,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-07-24,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,1
2023-07-24,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,4
2023-07-24,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,4
2023-07-25,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,1
2023-07-26,Controle Remoto para TV Samsung,Samsung,BN59-01199F,R$ 77.59,7
2023-07-26,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,10
2023-07-26,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,1
2023-07-26,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,1
2023-07-26,Controle Remoto LG,LG,AKB75095307,R$ 79.99,1
2023-07-26,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,10
2023-07-27,Carregador USB-C 20W,Apple,20W USB-C Power Adapter,R$ 97.98,2
2023-07-27,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,5
2023-07-27,Powerbank 10000mAh,Anker,PowerCore 10000,R$ 129.99,3
2023-07-27,Controle Remoto LG,LG,AKB75095307,R$ 79.99,9
2023-07-27,Carregador Rápido Dual,Aukey,PA-Y10,R$ 44.99,5
2023-07-28,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,9
2023-07-28,Carregador Rápido 18W,Anker,PowerPort III Nano,R$ 39.99,8
2023-07-28,Fone de Ouvido Bluetooth,Jbl,Wave Flex TWS - Preto,R$ 249.89,2
2023-07-28,Controle Remoto Universal,Logitech,Logitech Harmony 350,R$ 119.19,8
2023-07-28,Fone de Ouvido com Fio,Havit,H2016D,R$ 94.37,4
